trade_date,code,name,close,pct_chg,amount,turnover_rate,body_abs,prev_body_abs,body_wins_prev,volume_wins_prev,bullish_dual_win,bearish_dual_win,bullish_reversal_dual_win,bullish_continuation_dual_win,bearish_reversal_dual_win,bearish_continuation_dual_win,fire_k,fire_k_dual_win,fire_k_volume_expanded,attack_k,days_since_attack,retains_attack_close,center_not_falling_5d,volume_contracting_5d,range_contracting_5d,pre_ignition_window,ret_5d,prior_ret_5d,delta_net_displacement_5d,ret_10d,path_efficiency_5d,prior_path_efficiency_5d,delta_path_efficiency_5d,path_efficiency_10d,volume_intensity_5d,prior_volume_intensity_5d,delta_volume_intensity_5d,vp_conversion_efficiency_5d,prior_vp_conversion_efficiency_5d,delta_vp_conversion_efficiency_5d,near_or_breaks_20d_high,price_efficiency_improving,quiet_rising_efficiency,scan_score
2026-09-03,920429,康比特,11.53,-2.122,40551130.0,3.07414,0.05000000000000071,0.4399999999999995,False,False,False,False,False,False,False,False,False,False,False,False,2.0,True,True,False,False,False,0.05009107468123841,0.06292352371732823,-0.012832449036089821,0.11616650532429817,0.3408833401779686,0.29724408749832226,0.043639252679646356,0.3239132147532435,1.2083188392847897,1.399827545536255,-0.19150870625146532,0.041455179752794044,0.0449509112161549,-0.0034957314633608585,False,False,False,2
2026-09-03,002190,成飞集成,25.82,-2.197,494543833.0,5.30635,0.7899999999999991,0.0799999999999983,True,False,False,False,False,False,False,False,False,False,False,False,5.0,True,True,False,False,False,0.011755485893417017,0.10860121633362296,-0.09684573044020595,0.12163336229365762,0.16587864103198083,0.7890544181265418,-0.623175777094561,0.5833660971646548,1.76122222522586,0.9601061551359367,0.8011160700899234,0.006674618185623616,0.11311375909078164,-0.10643914090515802,False,False,False,2
2026-09-03,002995,天地在线,17.95,-2.286,144478541.0,6.52106,0.490000000000002,0.14000000000000057,True,False,False,False,False,False,False,False,False,False,False,False,3.0,True,True,False,False,False,0.05340375586854451,0.010077059869590954,0.04332669599895356,0.06401896858328393,0.3757882380765176,0.16934024495402616,0.20644799312249146,0.31752437296351604,1.4640858817451348,0.3772728907088975,1.0868129910362372,0.03647583556019901,0.0267102676014068,0.009765567958792212,False,False,False,2
2026-09-03,002681,奋达科技,5.04,-2.326,282217110.0,3.51231,0.15000000000000036,0.040000000000000036,True,False,False,False,False,False,False,False,False,False,False,False,3.0,True,True,False,False,False,0.0980392156862746,0.047945205479452024,0.05009401020682258,0.15068493150684925,0.6641318951290517,0.5430162496845086,0.12111564544454312,0.6387273212227862,1.7621535162051667,0.7097563669583438,1.052397149246823,0.055636024208267645,0.0675516384374555,-0.011915614229187854,False,False,False,2
2026-09-03,603901,永创智能,10.01,-2.341,166285502.0,2.89785,0.27999999999999936,0.10999999999999943,True,False,False,False,False,False,False,False,False,False,False,False,2.0,True,True,False,False,False,0.050367261280167996,0.018162393162393098,0.0322048681177749,0.06944444444444442,0.4312542862997151,0.3085509325100008,0.12270335378971425,0.39534341060938283,1.7320637953942652,0.8473460034499714,0.8847177919442939,0.029079333806352685,0.021434447189748778,0.007644886616603907,False,False,False,2
2026-09-03,301518,长华化学,24.51,-2.467,43822064.0,3.01059,0.5999999999999979,1.1000000000000014,False,False,False,False,False,False,False,False,False,False,False,False,5.0,True,True,True,False,False,-0.010096930533117887,-0.036950602878257466,0.02685367234513958,-0.046674445740956805,-0.08376552017371719,-0.15230751127301206,0.06854199109929487,-0.12852900722010124,0.7369564230334237,1.1129014561401558,-0.3759450331067321,-0.013700851526006653,-0.03320204378778709,0.019501192261780438,False,False,False,2
2026-09-03,002418,康盛股份,5.65,-2.754,2267350113.0,35.09136,0.1299999999999999,0.21999999999999975,False,False,False,False,False,False,False,False,False,False,False,False,2.0,True,True,False,False,False,0.1507128309572301,0.3792134831460674,-0.2285006521888373,0.5870786516853934,0.7306720189588349,1.1091298620080734,-0.37845784304923846,1.0709833943983067,2.335650106210691,1.3904498775520593,0.9452002286586318,0.06452714409425964,0.2727271865517996,-0.20820004245753998,False,False,False,2
2026-09-03,603330,天洋新材,11.17,-2.785,664689999.0,13.62542,0.3699999999999992,0.2699999999999996,True,False,False,False,False,False,False,False,False,False,False,False,2.0,True,True,False,False,False,0.027598896044158217,0.19977924944812342,-0.1721803534039652,0.23289183222958054,0.16064202414742412,0.7891950371934024,-0.6285530130459783,0.5480494162068982,1.2900652246578197,1.9245793442902306,-0.6345141196324109,0.02139341136916439,0.10380411181322348,-0.08241070044405908,False,False,False,2
2026-09-03,688403,汇成股份,24.06,-2.788,2456497099.0,10.03326,1.3399999999999999,0.05000000000000071,True,True,False,True,False,False,False,True,False,False,False,False,5.0,True,True,False,False,False,0.011774600504625532,0.029437229437229373,-0.01766262893260384,0.04155844155844135,0.09702901551827825,0.2802795304204696,-0.18325051490219135,0.18357868851669085,1.1622060363795705,0.6647597026720402,0.49744633370753033,0.010131250515016262,0.04428251188949138,-0.03415126137447512,False,False,False,2
2026-09-03,920370,新安洁,3.01,-2.903,13822463.0,1.74131,0.0900000000000003,0.07000000000000028,True,False,False,False,False,False,False,False,False,False,False,False,2.0,True,True,False,False,False,0.016891891891891886,0.06093189964157708,-0.044040007749685195,0.07885304659498193,0.1355945200368321,0.5477129054731678,-0.41211838543633567,0.3343718901426724,1.3142149826310157,0.9896950879197238,0.32451989471129183,0.012853218168366083,0.06156633531409362,-0.048713117145727534,False,False,False,2
2026-09-03,301056,森赫股份,13.98,-2.917,87323934.0,3.47995,0.7400000000000002,0.040000000000000924,True,False,False,False,False,False,False,False,False,False,False,False,3.0,True,True,False,False,False,0.16597164303586331,0.10202205882352944,0.06394958421233388,0.2849264705882353,0.7119500263162372,0.7748927601172638,-0.06294273380102666,0.7810865790379415,1.8333650528828893,0.8904141611455821,0.9429508917373072,0.09052842082643602,0.11457820784461771,-0.024049787018181695,False,False,False,2
2026-09-03,600562,国睿科技,29.22,-3.245,461207251.0,1.26285,0.9800000000000004,0.1999999999999993,True,True,False,True,False,False,False,True,False,False,False,False,4.0,True,True,False,False,False,0.0703296703296703,0.04718066743383198,0.023149002895838322,0.12082853855005737,0.4528603139800437,0.6758321288051893,-0.22297181482514555,0.5367479573718683,1.3888158652044404,0.9185951200625104,0.47022074514193,0.050640025140638374,0.051361765813235906,-0.0007217406725975317,False,False,False,2
2026-09-03,600176,中国巨石,42.63,-3.399,8844628162.0,5.20216,1.6699999999999946,2.1600000000000037,False,False,False,False,False,False,False,False,False,False,False,False,5.0,True,True,False,False,False,-0.00023452157598491397,0.029454369869628128,-0.02968889144561304,0.02921294060840185,-0.0021216267432380125,0.18957007302761414,-0.19169169977085215,0.10985895768281392,0.9865338149832316,0.7443608489543873,0.2421729660288443,-0.00023772279512679473,0.039570014880555636,-0.03980773767568243,False,False,False,2
2026-09-03,600378,昊华科技,48.63,-3.588,4297304305.0,8.15189,2.0700000000000003,1.9399999999999977,True,False,False,False,False,False,False,False,False,False,False,False,5.0,True,True,False,False,False,0.0035080478745357357,0.08801077682981595,-0.08450272895528022,0.09182757072294567,0.013908758000117245,0.3373035783280066,-0.32339482032788935,0.17895117480407524,1.5010366378430828,0.7237617383795831,0.7772748994634997,0.002337083443597107,0.12160186448493625,-0.11926478104133914,False,False,False,2
2026-09-03,300352,ST信源,2.64,-3.65,88994516.0,2.60953,0.10000000000000009,0.16000000000000014,False,False,False,False,False,False,False,False,False,False,False,False,4.0,True,True,False,False,False,0.06882591093117396,0.09292035398230114,-0.02409444305112718,0.16814159292035424,0.45678438339310967,0.7896137209897212,-0.3328293375966115,0.62656853486394,1.4466198337335585,1.1497637252238264,0.2968561085097321,0.04757705468031794,0.08081691215663651,-0.03323985747631857,False,False,False,2
2026-09-03,920039,国义招标,8.52,-3.729,21879912.0,1.64894,0.3200000000000003,0.40000000000000036,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,0.041564792176039145,-0.047729918509895275,0.08929471068593442,-0.008149010477299212,0.35366519546176606,-0.5624027589437879,0.9160679544055539,-0.040263166695837606,1.4876987761060465,0.7798311840636278,0.7078675920424187,0.027938983915031676,-0.06120544995543664,0.08914443387046832,False,True,False,2
2026-09-03,000610,*ST西旅,7.32,-4.314,116330403.0,6.67577,0.23999999999999932,0.22000000000000064,True,False,False,False,False,False,False,False,False,False,False,False,2.0,True,True,False,False,False,0.10240963855421703,0.07096774193548372,0.03144189661873331,0.1806451612903226,0.4789633790713318,0.6137104017245257,-0.13474702265319394,0.5483195283774572,2.4951256498983345,1.4569318622521994,1.0381937876461351,0.04104388031856824,0.048710405595618025,-0.007666525277049786,False,False,False,2
