trade_date,code,name,close,pct_chg,amount,turnover_rate,attack_k,days_since_attack,retains_attack_close,center_not_falling_5d,volume_contracting_5d,range_contracting_5d,pre_ignition_window,scan_score
2026-08-21,601702,华峰铝业,16.02,-1.111,134658785.0,,False,3.0,False,True,False,False,False,1
2026-08-21,688291,金橙子,42.53,-1.116,57905988.0,,False,4.0,False,True,False,False,False,1
2026-08-21,601116,三江购物,10.46,-1.134,137437600.0,,False,3.0,False,True,False,False,False,1
2026-08-21,688333,铂力特,105.46,-1.144,1282000772.0,,False,1.0,True,False,False,False,False,1
2026-08-21,600584,长电科技,78.57,-1.145,7646217741.0,,False,4.0,False,True,False,False,False,1
2026-08-21,603800,洪田股份,67.1,-1.164,251635333.0,,False,5.0,False,True,False,True,False,1
2026-08-21,688077,大地熊,28.8,-1.167,95116935.0,,False,3.0,False,True,False,False,False,1
2026-08-21,301093,华兰股份,81.99,-1.169,725594750.0,,False,1.0,True,False,False,False,False,1
2026-08-21,603010,万盛股份,11.76,-1.176,77100209.0,,False,4.0,False,True,False,False,False,1
2026-08-21,002706,良信股份,10.0,-1.186,338242758.0,,False,3.0,False,True,False,False,False,1
2026-08-21,300751,迈为股份,193.66,-1.214,1180698362.0,,False,3.0,False,True,False,False,False,1
2026-08-21,300320,海达股份,8.49,-1.279,40911067.0,,False,4.0,False,True,False,False,False,1
2026-08-21,600281,华阳新材,4.62,-1.282,149057281.0,,False,4.0,False,True,False,False,False,1
2026-08-21,301015,百洋医药,25.86,-1.298,280663574.0,,False,5.0,False,True,False,False,False,1
2026-08-21,688210,统联精密,30.99,-1.306,200704849.0,,False,4.0,False,True,False,False,False,1
2026-08-21,002989,中天精装,24.67,-1.32,137057317.0,,False,5.0,False,True,False,False,False,1
2026-08-21,688667,菱电电控,90.9,-1.335,52760126.0,,False,3.0,False,True,False,False,False,1
2026-08-21,605333,沪光股份,17.57,-1.348,97421858.0,,False,3.0,False,True,False,False,False,1
2026-08-21,688655,迅捷兴,42.36,-1.351,483350682.0,,False,3.0,False,True,False,False,False,1
2026-08-21,600113,浙江东日,30.43,-1.361,170746960.0,,False,3.0,False,True,False,False,False,1
2026-08-21,603650,彤程新材,64.47,-1.362,937259095.0,,False,4.0,False,True,False,False,False,1
2026-08-21,688539,高华科技,25.57,-1.388,51134092.0,,False,4.0,False,True,False,False,False,1
2026-08-21,002972,科安达,13.44,-1.394,52517878.0,,False,3.0,False,True,False,False,False,1
2026-08-21,300094,国联水产,2.82,-1.399,129692870.0,,False,3.0,False,True,False,False,False,1
2026-08-21,300243,瑞丰高材,16.76,-1.412,493938175.0,,False,3.0,False,True,False,False,False,1
2026-08-21,001207,联科科技,16.71,-1.416,74781205.0,,False,4.0,False,True,False,False,False,1
2026-08-21,301626,苏州天脉,255.89,-1.425,387349301.0,,False,4.0,False,True,False,False,False,1
2026-08-21,605208,永茂泰,13.84,-1.425,130969481.0,,False,4.0,False,True,False,False,False,1
2026-08-21,301156,美农生物,11.74,-1.427,109797734.0,,False,3.0,False,True,False,False,False,1
2026-08-21,600198,大唐电信,7.47,-1.451,151354446.0,,False,5.0,False,True,False,False,False,1
2026-08-21,920438,戈碧迦,122.18,-1.468,376943920.0,,False,3.0,False,True,False,False,False,1
2026-08-21,920220,朗信电气,39.49,-1.472,27652387.0,,False,3.0,False,True,False,False,False,1
2026-08-21,603280,南方路机,26.56,-1.484,59222141.0,,False,3.0,False,True,False,False,False,1
2026-08-21,002258,利尔化学,14.59,-1.485,268715148.0,,False,4.0,False,True,False,False,False,1
2026-08-21,600603,广汇物流,4.61,-1.496,58496424.0,,False,3.0,False,True,False,False,False,1
2026-08-21,605080,浙江自然,22.0,-1.522,166827173.0,,False,1.0,False,True,False,False,False,1
2026-08-21,688678,福立旺,19.4,-1.523,245724807.0,,False,4.0,False,True,False,False,False,1
2026-08-21,301599,理奇智能,34.08,-1.531,194267556.0,,False,4.0,False,True,False,False,False,1
2026-08-21,920002,万达轴承,52.64,-1.534,49521179.0,,False,3.0,False,True,False,False,False,1
2026-08-21,688559,海目星,52.59,-1.535,416575564.0,,False,3.0,False,True,False,False,False,1
2026-08-21,920856,浩淼科技,14.02,-1.545,39699391.0,,False,3.0,False,True,False,False,False,1
2026-08-21,688809,强一股份,447.15,-1.559,557967049.0,,False,3.0,False,True,False,False,False,1
2026-08-21,600360,华微电子,10.72,-1.561,757287988.0,,False,4.0,False,True,False,False,False,1
2026-08-21,300628,亿联网络,41.73,-1.58,678608829.0,,False,1.0,False,True,False,False,False,1
2026-08-21,688139,海尔生物,29.54,-1.664,145490660.0,,False,1.0,False,True,False,False,False,1
2026-08-21,688802,沐曦股份,700.0,-1.684,640414882.0,,False,4.0,False,True,False,False,False,1
2026-08-21,688305,科德数控,63.21,-1.71,211858914.0,,False,4.0,False,True,False,False,False,1
2026-08-21,603511,爱慕股份,12.62,-1.713,14044690.0,,False,4.0,False,True,False,False,False,1
2026-08-21,688361,中科飞测,349.46,-1.724,2653998020.0,,False,4.0,False,True,False,False,False,1
2026-08-21,002427,尤夫股份,4.53,-1.735,172461173.0,,False,1.0,False,True,False,False,False,1
2026-08-21,688584,上海合晶,29.11,-1.755,332809650.0,,False,4.0,False,True,False,False,False,1
2026-08-21,920964,润农节水,4.68,-1.887,20923847.0,,False,3.0,False,True,False,False,False,1
2026-08-21,603578,三星新材,13.49,-1.891,139501768.0,,False,1.0,False,True,False,False,False,1
2026-08-21,688548,广钢气体,37.28,-1.895,1144770224.0,,False,4.0,False,True,False,False,False,1
2026-08-21,600251,冠农股份,10.31,-1.903,151497535.0,,False,1.0,False,True,False,False,False,1
